text,label
"What are the main types of algorithms",1
"How do you make a paper airplane that flies well",1
"What are the symptoms of seasonal allergies",1
"How do you plant basil in a small pot",1
"What is the difference between a comet and an asteroid",1
"How do you fix a leaky faucet",1
"What causes a rainbow to appear",1
"How do you tie shoelaces for a child",1
"What is the best way to store fresh strawberries",1
"How do you clean a microwave safely",1
"What is the role of mitochondria in a cell",1
"How do you write a formal apology email",1
"What are the main causes of earthquakes",1
"How do you sharpen kitchen knives at home",1
"What is the purpose of a savings account",1
"How do you make scrambled eggs fluffy",1
"What are the differences between cats and dogs",1
"How do you start a bonsai tree from seed",1
"What is the tallest mountain in Africa",1
"How do you remove a stain from a white shirt",1
"What does a dentist do during a routine checkup",1
"How do you organize files on a computer desktop",1
"What is the function of the liver",1
"How do you make homemade lemonade",1
"What are the main stages of the water cycle",1
"How do you read a nutritional label",1
"What is the difference between weather and climate",1
"How do you wrap a gift neatly",1
"What are the benefits of drinking water",1
"How do you mend a torn button",1
"What is the purpose of a passport",1
"How do you prepare a salad dressing",1
"What causes the phases of the moon",1
"How do you take care of a houseplant",1
"What is the job of a pharmacist",1
"How do you clean silver jewelry",1
"What are the steps to make oatmeal",1
"How do you choose a good password",1
"What is the capital city of Chile",1
"How do you block a number on a phone",1
"What are the rules of badminton",1
"How do you train for a 5K race",1
"What is the purpose of a library card",1
"How do you fold a fitted sheet",1
"What causes tides in the ocean",1
"What is the function of the immune system",1
"How do you make hot chocolate from scratch",1
"What are the steps to change a lightbulb",1
"How do you set up a budget for groceries",1
"What is the meaning of a traffic signal",1
"How do you boil pasta without sticking",1
"What is the difference between a theorem and a proof",1
"How do you make a bird feeder",1
"What are the parts of a flower",1
"How do you wash a wool sweater safely",1
"What is the purpose of a thermostat",1
"How do you write a thank-you note",1
"What are the causes of thunderstorms",1
"How do you make a simple smoothie",1
"What is the function of red blood cells",1
"How do you care for curly hair",1
"What are the rules of table tennis",1
"How do you identify a ripe avocado",1
"What is the difference between an author and an editor",1
"How do you use a compass to find north",1
"What are the steps to recycle paper properly",1
"How do you make a sandwich for lunch",1
"What is the purpose of a vaccination",1
"How do you clean a bathroom mirror without streaks",1
"What are the main types of clouds",1
"How do you improve your handwriting",1
"What is the role of the sun in photosynthesis",1
"How do you pack a suitcase efficiently",1
"What are the steps to knit a scarf",1
"How do you keep fruit from browning",1
"What is the purpose of a barcode",1
"How do you make a budget-friendly meal",1
"What are the dangers of dehydration",1
"How do you choose a movie to watch",1
"What is the difference between a river and a lake",1
"How do you clean a pair of glasses",1
"What are the steps to make a volcano model",1
"How do you repair a loose screw in furniture",1
"What is the purpose of a headline in a news article",1
"How do you care for a pet rabbit",1
"What are the basic parts of a bicycle",1
"How do you make a fruit salad",1
"What is the function of the kidneys",1
"How do you reduce noise from a window",1
"What are the causes of erosion",1
"How do you write a short story outline",1
"What is the purpose of an address label",1
"How do you store potatoes correctly",1
"What are the benefits of stretching before exercise",1
"How do you make tea with loose leaves",1
"What is the difference between a symptom and a disease",1
"How do you plan a birthday party",1
"What are the parts of a volcano",1
"How do you protect plants from frost",1
"What is the role of a teacher in class",1
"How do you wash dishes by hand",1
"What are the steps to draw a simple map",1
"How do you choose the right shoes for walking",1
"What is the purpose of a seatbelt",1
"How do you make a simple craft with cardboard",1
"What are the rules of a spelling bee",1
"How do you prepare for a rainy day",1
